Metrics Server Information
Tue Mar 17 15:52:32 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:33 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:33 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:34 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:34 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:35 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:36 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:36 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:37 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:37 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:38 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:39 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:39 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:40 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:40 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:41 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:42 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:42 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:43 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:43 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:44 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:45 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:45 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:46 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:47 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:47 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:48 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:48 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
Tue Mar 17 15:52:49 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
