Metrics Server Information
Fri Mar 13 12:18:21 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:21 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:22 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:23 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:23 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:24 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:25 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:25 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:26 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:26 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:27 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:28 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:28 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:29 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:29 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:30 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:31 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:31 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:32 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:32 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:33 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:34 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:34 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:35 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:35 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:36 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:37 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:37 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:38 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:39 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:39 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:40 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:40 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:41 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:42 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:42 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:43 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:43 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:44 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:45 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:45 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:46 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:46 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:47 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:48 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:48 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:49 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:50 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:50 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:51 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:51 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:52 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:53 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:53 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:54 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
