Metrics Server Information
Fri Mar 13 15:39:47 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:48 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:48 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:49 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:50 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:51 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:51 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:52 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:53 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:53 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:54 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:55 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:55 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:56 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:57 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:57 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:58 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:59 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:00 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:00 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:01 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:02 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:03 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:03 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:04 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:05 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:06 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:06 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:07 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:08 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:08 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:09 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:10 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:10 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:11 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:12 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:13 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:13 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:14 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:15 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:15 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:16 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:17 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:18 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:18 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:40:19 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:20 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:21 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:21 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:22 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:23 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:23 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:24 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:25 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:25 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:26 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:27 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:28 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:28 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:29 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:30 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:30 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:31 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:31 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:32 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:33 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:33 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:34 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:35 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:35 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:36 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:37 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:37 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:38 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:38 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:39 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:40 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:40 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:41 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:42 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:42 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:43 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:43 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:44 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:45 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:45 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:46 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:47 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:47 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
Fri Mar 13 15:40:48 UTC 2020 netflow-pycoll-688444495b-4c9sj                   502m         21Mi            
